Epoca,Accuracy,Precision,Recall,FPR
0,55.709271,61.073288,31.488747,20.070204
100,57.567623,68.999482,27.482965,12.347718
200,64.567417,78.902089,39.768738,10.633905
300,67.798885,84.206349,43.815817,8.218047
400,69.605616,84.998157,47.615115,8.403882
500,70.596738,85.791173,49.370225,8.176750
600,71.340078,85.848075,51.104687,8.424530
700,72.083419,86.639260,52.219699,8.052860
800,72.124716,86.457979,52.467479,8.218047
900,72.434441,85.941118,53.644435,8.775552
1000,72.496387,86.523634,53.293413,8.300640
1100,72.826760,86.545455,54.057402,8.403882
1200,72.899030,86.289267,54.449721,8.651662
1300,73.043568,86.734694,54.408425,8.321288
1400,73.064216,87.035809,54.201941,8.073508
1500,72.919678,86.657860,54.181293,8.341937
1600,73.167458,86.762779,54.676853,8.341937
1700,73.012595,86.940670,54.160644,8.135453
1800,73.126161,86.601307,54.718150,8.465827
1900,72.733843,86.169514,54.160644,8.692959
2000,72.878381,86.044242,54.614908,8.858146
2100,72.620277,85.464552,54.511666,9.271113
2200,73.126161,85.737077,55.482139,9.229816
2300,72.754491,85.456885,54.842040,9.333058
2400,72.671898,85.835509,54.305183,8.961388
2500,72.857733,86.366623,54.284534,8.569069
2600,72.888705,85.517462,55.110469,9.333058
2700,72.857733,85.755814,54.821392,9.105926
2800,72.857733,85.941558,54.656205,8.940739
2900,72.919678,85.463259,55.234359,9.395003
3000,73.198431,86.206897,55.234359,8.837497
3100,73.136486,85.470085,55.750568,9.477597
3200,73.074541,85.352736,55.709271,9.560190
3300,73.188107,86.343042,55.089820,8.713607
3400,73.002271,86.121920,54.842040,8.837497
3500,73.177782,85.782595,55.564733,9.209168
3600,73.219079,85.823511,55.626678,9.188520
3700,73.115837,86.218052,55.027875,8.796201
3800,73.002271,85.981912,54.965930,8.961388
3900,72.971299,85.463819,55.358249,9.415651
4000,73.342969,86.338798,55.461491,8.775552
4100,73.022920,86.201299,54.821392,8.775552
4200,73.270700,85.960434,55.626678,9.085278
4300,73.291348,86.015326,55.626678,9.043981
4400,73.157134,86.095912,55.234359,8.920091
4500,72.940326,85.700514,55.069172,9.188520
4600,72.940326,86.354712,54.491018,8.610365
4700,73.064216,85.962653,55.131117,9.002684
4800,73.126161,85.398230,55.791865,9.539542
4900,72.981623,85.400763,55.440842,9.477597
5000,73.033244,85.423944,55.544084,9.477597
